Country,1990,1995,2000,2005,2010,2015,2020,roshd
"Hong Kong, China (SAR)",8.0,5.3,3.983333333333334,1.9,2.6,2.1,4.0,-4.0
Estonia,2.0,-14.9,-0.2,-2.7,-2.3,-2.516666666666667,3.0,1.0
Bahrain,5.6,24.5,12.8,40.0,51.1,6.4,31.1,25.5
Senegal,-1.7,-1.9,-4.9,-3.9,-3.7,-3.1,-1.3,0.3999999999999999
Armenia,-3.9,-29.4,-14.2,-10.6,-12.5,-2.1,-1.7,2.2
Oman,1.3,10.4,-17.3,1.3,19.2,48.5,18.6,17.3
Nigeria,-0.2,-0.2,-0.2,-0.3,-0.4,-0.2666666666666667,-0.3,-0.09999999999999998
Latvia,3.2,-9.0,-3.8,-6.3,-7.9,-8.1,-7.6,-10.8
Sri Lanka,-1.6,-2.9,-5.0,-4.7,-5.2,-4.7,-4.6,-2.9999999999999996
Mozambique,-20.8,9.0,-2.05,0.3,-0.4,-0.2,-0.2,20.6
Kenya,0.0,1.7,-0.1,0.1,-1.0,-0.2,-0.2,-0.2
Denmark,1.3,2.5,2.8,1.7,3.2,3.8,2.6,1.3
Mauritania,-4.2,-4.1,-3.6,-0.7,0.6,1.3,1.1,5.300000000000001
Kyrgyzstan,-6.1,-3.483333333333334,-1.1,-6.9,-2.9,-3.3,-0.6,5.5
Iraq,-7.9,-1.6,-1.8666666666666665,-2.1,-7.8,8.0,0.2,8.1
Mongolia,0.0,-7.9,-4.5,-2.3000000000000003,-0.8,-0.3,-0.3,-0.3
South Africa,-0.7,4.4,3.0,3.4,3.5,3.5,2.5,3.2
El Salvador,-10.1,-9.7,-11.4,-10.5,-9.283333333333333,-7.7,-6.3,3.8
Papua New Guinea,0.2,-0.9,-0.9,-2.7,1.1,-0.1,-0.1,-0.30000000000000004
Korea (Republic of),0.8,0.5000000000000001,0.7,0.3,-0.6,1.6,0.2,-0.6000000000000001
Kiribati,-1.9,-11.8,-7.075000000000001,-7.075000000000001,-7.075000000000001,-7.7,-6.9,-5.0
Bulgaria,-4.1,-8.3,-3.3,-2.2,-2.2,-0.7,-0.7,3.3999999999999995
Vanuatu,-5.2,-1.2,-8.4,-2.6,-2.9,1.4,0.4,5.6000000000000005
Sweden,3.2,3.6,4.36,4.36,5.7,5.3,4.0,0.7999999999999998
Japan,-0.5,0.1,-0.2,0.3,0.4,0.6,0.6,1.1
Fiji,-18.6,-9.0,-9.8,-14.4,-5.6,-12.0,-7.0,11.600000000000001
Netherlands,1.9,2.5,2.3,1.8,0.8,0.7,0.9,-0.9999999999999999
Albania,-0.0,-27.7,-11.5,-11.4,-14.4,-9.4,-4.9,-4.9
Gambia,-0.8166666666666668,0.5,-0.7,0.2,-1.9,-1.6,-1.4,-0.5833333333333331
Poland,-1.6,-0.8,-0.4,-1.0,-0.9,-1.7,-0.8,0.8
Barbados,-4.9,-4.1,-2.7,-2.3,-0.2,-0.3,-0.3,4.6000000000000005
Eritrea,-8.399999999999999,-28.2,-11.6,17.8,-8.399999999999999,-8.399999999999999,-11.6,-3.200000000000001
Thailand,1.9,-2.1,2.3,1.2,0.2,0.5,0.3,-1.5999999999999999
Czechia,0.1,0.6,0.9,0.9,4.8,1.1,2.1,2.0
Uruguay,-2.0,-1.3,-1.6,-6.3,-3.0,-1.8,-0.9,1.1
Maldives,-2.5,-2.6,-0.8,11.6,10.5,28.4,22.8,25.3
Libya,0.3,0.2,-2.2,-0.7,-4.0,-9.5,-0.3,-0.6
Ukraine,0.0,0.3,-1.9,-0.7,1.2,0.6,0.2,0.2
Serbia,-0.6,3.7,-10.2,-5.9,-2.6,0.7,0.5,1.1
Samoa,-24.2,-16.8,-19.9,-17.7,-16.5,-12.8,-14.3,9.899999999999999
Sudan,1.6,5.8,-4.7,-3.8,-6.0,-2.9,-1.2,-2.8
Zambia,-2.0,-3.5,0.4,-2.7,-2.7,-0.7,-0.5,1.5
Paraguay,-0.9,-1.4,-1.7,-1.7,-3.9,-2.7,-2.4,-1.5
Viet Nam,-1.0,-1.1,-0.6,-1.6,-1.0000000000000002,-0.9,-0.8,0.19999999999999996
Malta,0.7,0.9,3.3,2.8,2.8,2.1,2.1,1.4000000000000001
Romania,-1.7,-4.5,-5.2,-4.3,-7.4,-3.0,-3.8,-2.0999999999999996
Mauritius,-6.9,-1.0,-1.5,-3.2,-2.0,-1.9,0.0,6.9
Lesotho,-5.0,-0.9,-3.8,-16.0,-9.3,-4.7,-4.8,0.20000000000000018
China,-0.1,-0.1,-0.1,-0.3,-0.3,-0.2,-0.2,-0.1
Australia,8.0,4.0,4.2,6.0,11.4,8.6,6.4,-1.5999999999999996
Micronesia (Federated States of),-4.2,-3.3,-23.8,-23.0,-23.5,-5.7,-5.4,-1.2000000000000002
Jamaica,-12.4,-8.9,-7.2,-6.8,-6.3,-4.0,-3.9,8.5
South Sudan,-15.5,-41.4,10.6,12.6,19.9,-2.0,-15.9,-0.40000000000000036
Burkina Faso,-4.4,-3.2,-2.5,-2.0,-1.7,-1.5,-1.3,3.1000000000000005
Guinea,0.0,-4.0,-4.05,-8.1,-6.5,-5.4,-0.3,-0.3
Sao Tome and Principe,-3.9,-8.9,-13.9,-11.2,-4.0,-8.316666666666668,-8.0,-4.1
Togo,-1.1,-5.8,3.5,-1.3,-0.4,-0.3,-0.3,0.8
Djibouti,35.4,-14.7,3.0,-2.4,-3.0,1.4,0.9,-34.5
Philippines,-1.1,-2.1,-2.6,-1.9166666666666667,-3.4,-1.7,-0.6,0.5000000000000001
Tunisia,1.3,3.2,-0.8,-2.9,-0.8,-2.8,-0.3,-1.6
Liberia,-34.1,-28.2,37.8,-3.3,9.9,1.2,-1.0,33.1
Guyana,-27.1,-15.4,-23.0,-16.9,-13.4,-9.2,-7.7,19.400000000000002
