publisher,average_rating
Edward Countryman,3.29
Edward F. Edinger,3.93
Edward Gibbon,3.91
Edward Gorey,4.18
Edward J. Larson,3.9
Edward Lear,3.7800000000000002
Edward Lewis Wallant,3.88
Edward P. Jones,3.8550000000000004
Edward R. Tufte,4.115
Edward Rutherfurd,3.86
Edward St. Aubyn,3.76
Edward Steers Jr.,4.13
Edward T. Haslam,3.92
Edward T. Welch,4.05
Edward W. Said,4.1575
Edward de Bono,3.62
Edwidge Danticat,3.9675000000000002
Edwin A. Abbott,3.82
Edwin Page,3.25
Efraim Turban,3.93
Efrem Smith,3.91
Eiji Nonaka,4.17
Eiki Eiki,3.51
Eileen Gunn,3.77
Eireann Corrigan,3.95
Elaine Barbieri,3.94
Elaine Cunningham,3.825
Elaine Pagels,3.9
Elaine Sciolino,3.82
Elan Golomb,3.82
Elda Minger,4.0
Eleanor Clymer,4.14
Eleanor Dwight,4.24
Eleanor Estes,3.9560000000000004
Eleanor Herman,3.91
Eleanor J. Gibson,4.5
Elena N. Mahlow,5.0
Elie Wiesel,4.038333333333333
Elinor J. Pinczes,4.05
Elinor M. Brent-Dyer,4.08
Eliot Asinof,4.03
Eliot Ness,3.89
Elisabeth Elliot,4.4
Elisabeth Jean Wood,3.83
Elisabeth Kübler-Ross,4.13
Elise Broach,3.88
Eliza Gaynor Minden,4.35
Eliza Minot,3.68
Elizabeth  Davis,4.37
Elizabeth  George,3.9375
Elizabeth A. Lynn,3.5549999999999997
Elizabeth A. Schultz,4.28
Elizabeth Alexander,3.8
Elizabeth Berg,3.7000000000000006
Elizabeth C. Economy,3.8
Elizabeth Castro,3.8
Elizabeth Clare Prophet,4.0
Elizabeth Gaskell,3.91
Elizabeth George,4.345
Elizabeth Gilbert,3.4299999999999997
Elizabeth Hardwick,4.01
Elizabeth Hoyt,3.97
Elizabeth Knowles,4.2
Elizabeth Kostova,3.78
Elizabeth L. Fuller,3.73
Elizabeth Lowell,3.88
Elizabeth M. Butler,3.73
Elizabeth Mann,4.44
Elizabeth Mayne,3.27
Elizabeth Moon,4.27
Elizabeth Noble,3.59
Elizabeth Peters,3.972
Elizabeth Russell Miller,4.07
Elizabeth Silverthorne,4.25
Elizabeth Stewart,3.36
Elizabeth Stuart Phelps,3.55
Elizabeth Wurtzel,3.59
Elizabeth von Arnim,3.88
Ellen Anker,3.68
Ellen Evert Hopman,4.29
Ellen Kushner,3.65
Ellen Meloy,4.07
Ellen Raskin,4.02
Ellen Weiss,3.945
Elliot Aronson,4.0
Elliott A. Norse,4.59
Elliott Currie,3.83
Ellis Weiner,3.92
Elmer Kennedy-Andrews,3.38
Elspeth Huxley,4.0649999999999995
Elvi Rhodes,4.05
Elwood Reid,3.23
Emerson Eggerichs,4.18
Emil M. Cioran,4.25
Emily Barr,3.31
Emily Blake,4.16
Emily Brontë,3.85
Emily Dickinson,4.21
Emily Giffin,3.8375000000000004
Emily Jenkins,3.94
Emily Mann,4.02
Emine Sevgi Özdamar,3.71
Emma Barker,3.93
Emma Donoghue,3.6254545454545455
Emma Holly,3.7475
Emma McLaughlin,3.08
Emmanuel Le Roy Ladurie,3.96
Emmanuel Rhoides,3.92
Emmuska Orczy,4.050000000000001
Enid Blyton,4.023333333333333
Eoin Colfer,3.8942105263157893
Ephraim Sevela,4.14
Epictetus,4.266666666666667
Erasmus,3.8
Eric A. Meyer,4.0
Eric B. Martin,3.22
Eric Bischoff,3.62
Eric Carle,4.29
Eric Chaisson,3.935
Eric Flint,3.9
Eric Frank Russell,3.77
Eric H.F. Law,3.77
Eric Hansen,4.1
Eric Hobsbawm,3.893333333333333
Eric Homberger,4.06
Eric Jensen,4.11
Eric Klinenberg,3.86
Eric P. Kelly,3.76
Eric R. Kandel,4.1
Eric R. Wolf,4.12
Eric Schlosser,3.755
Eric Sykes,3.88
Eric Tyson,3.77
Erica Jong,3.5557142857142856
Erich Auerbach,4.25
Erich Fromm,4.108888888888888
Erich Maria Remarque,4.1450000000000005
Erik  Larson,3.71
Erik Larson,3.932
Erin McCarthy,3.72
Erin McKean,3.59
Erin St. Claire,3.643076923076923
Erle Stanley Gardner,3.88
Ernest Becker,4.16
Ernest Hemingway,3.9305555555555554
Ernest J. Gaines,3.95
Ernesto Laclau,3.965
Ernesto Sabato,4.05
Ernle Bradford,4.07
Errol Flynn,4.02
Erving Goffman,3.9299999999999997
Esmeralda Santiago,4.02
Estelle B. Freedman,4.27
Esther Perel,4.15
Esther Schor,3.88
Eudora Welty,4.045555555555556
Eugene J. McCarthy,4.5
Eugene Linden,3.93
Eugene O'Neill,4.1075
Eugène Ionesco,4.016666666666667
Euripides,4.053076923076923
Eva Brann,4.395
Eva-Maria Metcalf,3.78
Evan Thomas,4.11
Evangeline Walton,4.02
Evelyn Waugh,3.8375
Ewan McGregor,3.94
F. Scott Fitzgerald,3.9386666666666668
F.F. Bruce,3.86
FASA Corporation,3.71
Fannie Flagg,4.046666666666667
Fatemeh Keshavarz,3.63
Faye Perozich,4.2
Faïza Guène,3.4
Federico García Lorca,4.246
Fern Michaels,4.14
Fiona McAuslan,3.82
Flann O'Brien,4.01
Fodor's Travel Publications Inc.,3.43
Ford Madox Ford,3.72
Fran Leeper Buss,3.69
Frances Burney,3.67
Frances Gies,3.86
Frances Goodrich,4.06
Frances Hodgson Burnett,4.15
Frances J. Roberts,4.58
Frances Mayes,3.75
Frances Oliver,4.0
Frances Stonor Saunders,4.01
Francesca Lia Block,3.9966666666666666
Francine Pascal,3.6614285714285715
Francine Patterson,4.3
Francine Prose,3.5775
Francine Segan,4.01
Francis Davis,3.69
Francis Meynell,3.67
Frank  Graham,3.78
Frank Beddor,3.93
Frank Darabont,4.64
Frank E. Peretti,4.1375
Frank Furedi,3.52
Frank Herbert,3.823333333333333
Frank Kermode,3.68
Frank M. Carrano,3.47
Frank McConnell,3.455
Frank McCourt,3.93
Frank N. Magill,0.0
Frank P. Incropera,3.99
Frank Portman,3.56
Frank Warren,4.355
Frank Wedekind,3.8
Frank Zappa,4.13
Frank Zöllner,4.26
Franz Kafka,4.044444444444444
François Rabelais,3.71
Fred Anderson,4.16
Fred Goodman,3.91
Fred Pearce,3.94
Fred Saberhagen,3.7585714285714285
Frederick C. Beiser,4.52
Frederick Charles Copleston,4.1
Frederick Douglass,4.084
Frederick Exley,4.08
Frederick K. Goodwin,4.4
Frederick P. Brooks Jr.,4.05
Frederick P. Lenz,0.0
Frederik Pohl,4.02
Fredric Dannen,3.94
Friedrich A. Hayek,4.18
Friedrich Dürrenmatt,3.73
Friedrich Nietzsche,4.062941176470588
Friedrich Reck-Malleczewen,4.24
Fritjof Capra,3.97
Fulton J. Sheen,4.59
Fuyumi Ono,4.2
Fyodor Dostoyevsky,4.197297297297298
G. Edward White,3.67
G. Richard Shell,3.95
G.E. Bentley Jr.,4.06
G.K. Chesterton,4.14
Gabriel García Márquez,3.9381081081081084
Gabrielle Ann Euvino,4.0
Gail A. Eisnitz,4.35
Gail Carson Levine,3.98
Gail Godwin,2.89
Gail Grant,4.38
Gaius Julius Caesar,4.055
Galadriel Waters,4.05
Gale Gand,3.71
Galina Krasskova,3.83
Gardner Dozois,3.87
Garrison Keillor,4.093333333333333
Garry Nelson,3.97
Garry Wills,3.9185714285714286
Garth Ennis,4.0
Garth Nix,4.045
Gary A. Braunbeck,4.25
Gary B. Nash,3.79
Gary Chapman,4.7
Gary Colombo,3.77
Gary Friedrich,3.62
Gary K. Carey,3.295
Gary L. Blackwood,3.68
Gary L. Hardcastle,3.68
Gary Oates,4.31
Gary Paulsen,3.987142857142857
Gary Russell,4.0633333333333335
Gary Snyder,4.09
Gary Yukl,3.68
Gaston Leroux,3.53
Gavin Baddeley,4.155
Gavin Menzies,3.6
Gayden Metcalfe,3.86
Gayle Lynds,3.95
Gelsey Kirkland,3.8
Gene A. Brucker,3.57
Gene Wilder,3.9
Gene Wolfe,4.0525
Geneen Roth,4.003333333333333
Geneviève,3.96
Geoff Emerick,4.25
Geoffrey Batchen,4.22
Geoffrey Chaucer,3.685
Geoffrey M. Bellman,3.46
Geoffrey Miller,4.1
Geoffrey S. Kirk,4.25
Georg Feuerstein,3.71
Georg Wilhelm Friedrich Hegel,3.6314285714285717
George  Adamson,4.23
George Balanchine,4.0
George Beahm,3.763333333333333
George Bernard Shaw,3.905
George Crile,4.01
George E. Stanley,3.8724999999999996
George Eliot,3.8344444444444443
George Gamow,4.19
George Gladir,3.91
George Grant,3.69
George H. Scherr,4.32
George H. Wood,3.5
George Lakoff,4.050000000000001
George Lucas,4.133333333333334
George MacDonald,4.08
George MacDonald Fraser,4.08
George Orwell,4.15
George Pelecanos,3.64
George Plimpton,4.08
George R.R. Martin,4.093999999999999
George S. Clason,4.26
George Saunders,4.035
George Selden,4.02
George Smoot,4.01
George Stalk Jr.,3.49
George Sullivan,4.12
George Washington,4.08
Georges Bataille,3.995
Georges Perec,3.9479999999999995
Georges Simenon,3.740769230769231
Georgette Heyer,3.915
Georgina Grey,3.0
Gerald Posner,3.96
Geraldine Brooks,3.8699999999999997
Geraldine McCaughrean,3.73
Geraldine Pinch,3.61
Gertrude Chandler Warner,3.86
Gertrude Stein,3.59
Gertrude the Great,3.43
Gia Bathory Al Babel,2.55
Giada De Laurentiis,4.0
Giles Andreae,4.3
Gill Harvey,3.35
Gilles Deleuze,4.1866666666666665
Gillian Avery,3.905
Giorgio De Santillana,4.29
Girolamo Cardano,3.75
Giuliana DePandi,3.15
Giuliano Hazan,3.79
Glen David Gold,4.09
Glenn M. Schwartz,4.0
Glenn Yeffeth,3.86
Gloria Goldreich,3.38
Gloria Naylor,4.17
Gonzague Saint Bris,4.0
Good Housekeeping,4.37
Gordon Bowker,3.83
Gordon Dahlquist,3.5
Gordon Korman,3.927391304347826
Gordon S. Wood,4.05
Gore Vidal,4.065
Gotthold Ephraim Lessing,3.7
Govind Armstrong,3.6
Graham Chapman,4.3
Graham Greene,3.8791666666666664
Graham Hancock,3.95
Graham Handley,0.0
Graham Masterton,3.62
Graham McNeill,3.97
Grant Morrison,3.970869565217391
Grant R. Osborne,3.94
Graydon Carter,4.47
Greg  Taylor,2.98
Greg Behrendt,3.84
Greg Cox,4.0
Greg Iles,4.0183333333333335
Greg Keyes,3.81
Greg Tang,4.03
Gregg Olsen,3.79
Gregory Bassham,4.28
Gregory Maguire,3.4814285714285718
Gretchen Moran Laskas,3.83
Grif Stockley,3.55
Gus Russo,3.88
Gus Van Sant,3.76
Gustave Flaubert,3.73
Gustave Le Bon,3.93
Guy Kawasaki,3.87
Guy Ogilvy,4.03
Guy W. Jones,4.35
Gwen Moran,3.32
Gwyn Hyman Rubio,3.7
Gwynne Forster,4.2
Günter Grass,3.54
H. Jay Riker,3.9
H. Rider Haggard,3.8
H.G. Bissinger,3.88
H.G. Wells,3.7842857142857143
H.P. Lovecraft,4.247272727272727
H.R. Giger,4.35
H.W. Brands,4.0
Ha Jin,3.7525
Hailey Abbott,3.41
Halldór Laxness,3.8516666666666666
Hania Czajkowski,4.0
Hanif Kureishi,3.6550000000000002
Hannah  Green,3.87
Hannah Arendt,4.095000000000001
Hannah Hurnard,4.02
Hans Blumenberg,3.93
Hans Jonas,4.24
Hanshan,4.41
Harlan Coben,4.03125
Harlan Ellison,4.03
Harlow Giles Unger,4.37
Harold Abelson,4.45
Harold Bloom,4.066666666666666
Harold C. Livesay,3.25
Harold Coyle,4.07
Harold G. Moore,4.31
Harper Lee,4.27
Harpo Marx,4.41
Harriet Lerner,4.0649999999999995
Harrison Edward Livingstone,3.22
Harry Crews,3.79
Harry G. Frankfurt,3.545
Harry Graham,3.86
Harry Hamernik,4.02
Haruki Murakami,3.937
Haruko Taya Cook,4.34
Harvey Mansfield,3.39
Harvey P. Mandel,3.8
Harvey Pekar,3.812
Haven Kimmel,3.842
Hayao Miyazaki,4.545555555555556
Hazel Rowley,4.11
Heather Jarman,3.78
Heather O'Neill,3.98
Heidi Baker,4.46
Heidi Betts,3.37
Heidi Boyd,3.775
Heidi Fleiss,3.82
Heidi Hayes Jacobs,3.6233333333333335
Heidi Murkoff,3.83
Helen  Cooper,4.02
Helen Ericson,3.84
Helen Fielding,3.5300000000000002
Helen Fisher,3.94
Helen L. Taylor,4.26
Helen McCarthy,3.93
Helen Vendler,4.1850000000000005
Helena Grice,3.7
Hemant Mehta,3.54
Henepola Gunaratana,4.3
Henning Mankell,3.915714285714286
Henri Blocher,3.68
Henri J.M. Nouwen,4.276
Henry Chadwick,3.8725
Henry David Thoreau,4.2
Henry Fielding,3.74
Henry James,3.815
Henry Jenkins,3.85
Henry Louis Gates Jr.,4.2
Henry M. Sayre,3.73
Henry Miller,3.88625
Henry Mintzberg,3.83
Herbert Asbury,3.6100000000000003
Herman Melville,3.5045454545454544
Herman Wouk,4.05875
Hermann Broch,4.19
Hermann Hesse,4.010909090909091
Hermione Lee,4.26
Herodotus,3.99
Hershel Parker,4.22
Hervie Haufler,4.18
Hervé Guibert,3.92
Hesiod,3.87625
Hiawyn Oram,4.25
Hidenori Hara,3.94
Hideyuki Kikuchi,4.06
Hilary H. Milton,3.615
Hildegarde Hoyt Swift,4.26
Hinako Takanaga,4.153333333333333
Hirohiko Araki,4.316111111111111
Hiroki Endo,4.085
Hiromu Arakawa,4.554615384615385
Hiroyuki Morioka,4.18
Homer,3.880434782608696
Homer Hickam,4.14
Honoré de Balzac,3.8971428571428572
Hope S. Warshaw,3.42
Horace,4.0
Horace  Silver,4.27
Horace Walpole,3.18
Howard Chaykin,3.19
Howard E. Covington Jr.,3.91
Howard F. Lyman,4.03
Howard Korder,3.76
Howard Stern,3.77
Howard W. Stone,3.67
Howard Zinn,4.165
Hugh    Miller,3.79
Hugh Bicheno,3.79
Hugh Honour,3.8625
Hugh Kenner,4.37
Hugh Laurie,3.68
Humphrey Carpenter,3.965
Hunter Davies,4.1
Hunter S. Thompson,4.051428571428572
Huston Smith,4.055
Hélène Greven-Borde,4.27
Iain Banks,3.17
Iain Crichton Smith,3.88
Iain Levison,3.83
Iain M. Banks,4.098181818181818
Iain Pears,3.7875
Ian        Martin,5.0
Ian Buruma,3.72
Ian Caldwell,3.23
Ian Edginton,3.6700000000000004
Ian Fleming,3.7359999999999998
Ian Glasper,3.99
Ian Hemphill,4.25
Ian Jack,3.83
Ian King,3.98
Ian McEwan,3.57
Ian Ogilvy,3.97
Ian Stewart,3.71
Ian Thomson,4.11
Ian W. Toll,4.32
Ian Whybrow,3.53
Igor Stravinsky,4.11
Ilona Andrews,4.07
Immanuel Kant,3.9199999999999995
Ina Garten,4.15
Ina May Gaskin,4.38
Indu Sundaresan,4.04
Ingri d'Aulaire,4.39
International Code Council (ICC),3.4450000000000003
Ira Levin,3.94
Iraj Pezeshkzad,4.16
Iris Fry,4.02
Iris Murdoch,3.8369999999999997
Irvin D. Yalom,4.2716666666666665
Irvine Welsh,3.794285714285714
Irving John,3.63
Irving Stone,4.07
Isaac Asimov,4.084117647058824
Isaac Bashevis Singer,4.19625
Isabel Allende,3.9245000000000005
Isabel Miller,3.9
Isak Dinesen,4.078
Ishmael Beah,4.16
Ishmael Reed,3.825
Italo Calvino,4.041666666666667
Ivan T. Sanderson,3.73
Ivan Turgenev,3.945
Ivo Andrić,4.33
Iyanla Vanzant,4.23
J. Anthony Lukas,4.28
J. Ed Komoszewski,4.2
J. Keith Cheetham,3.25
J. Maarten Troost,3.87
J. Martin Evans,0.0
J. Michael Lennon,4.0
J. Michael Straczynski,3.45
J. Scott Duvall,4.17
J. Torres,3.44
J.A. Jance,4.02
J.D. Robb,4.23
J.D. Salinger,3.9699999999999998
J.E. Austen Leigh,3.83
J.E. Bright,3.34
J.G. Passarella,3.71
J.J. Connolly,3.98
J.J. Isler,3.95
J.K. Rowling,4.52125
J.M. Barrie,3.9983333333333335
J.M. Coetzee,3.8485714285714283
J.R. Hyland,4.0
J.R. Ward,4.325
J.R.R. Tolkien,4.22313725490196
J.V. Jones,3.86
J.W. Rinzler,4.53
Jack Du Brul,4.12
Jack Dunphy,3.33
Jack Finney,3.96
Jack Frost,4.33
Jack Higgins,3.92
Jack Kerley,3.95
Jack Kerouac,3.7836363636363632
Jack London,3.9539999999999997
Jack Meadows,3.8
Jack Vance,3.9008333333333334
Jack Weatherford,4.11
Jack Williamson,3.605
Jackie French Koller,3.8
Jackson J. Benson,4.19
Jacob Grimm,4.353333333333333
Jacob Weisberg,3.37
Jacqueline Ann,2.67
Jacqueline Carey,4.102
Jacqueline Harpman,4.09
Jacqueline K. Ogburn,4.27
Jacqueline Winspear,4.09
Jacquelyn Mitchard,3.87
Jacquelyn Reinach,4.02
Jacques Derrida,4.2
Jahan Ramazani,4.23
Jahnna N. Malcolm,3.4933333333333336
Jakob Nielsen,3.84
James    Campbell,4.03
James   Campbell,4.21
James   McBride,4.0024999999999995
James   Paul,2.75
James  Hawkins,3.7
James A. Hetley,3.43
James A. Michener,4.003076923076923
James A. Owen,3.86
James Axler,3.88
James B. South,4.06
James B. Stewart,4.16
James B. Stiff,3.31
James Baldwin,4.323333333333333
James Brian Smith,4.26
James Brodrick,4.09
James C.    Simmons,3.9
James C. Collins,3.99
James C. Humes,3.98
James C. Mitchell,3.22
James Campbell,4.04
James Clavell,4.0183333333333335
James Craig Holte,0.0
James D. Bradley,4.19
James Daley,4.3
James Daugherty,3.41
James E. Campbell,5.0
James E. Ingram,4.5
James Ellroy,3.69875
James F. Calvert,4.17
James Fenimore Cooper,3.8533333333333335
James Frey,3.65
James Gleick,3.84
James Graham Leyburn,3.97
James H. Billington,4.54
James H. Cobb,4.01
James H. Cone,4.37
James Hamilton-Paterson,3.77
James Herriot,4.42
James Hillman,4.22
James Hilton,3.92
James J. Gibson,4.26
James Joyce,3.7616666666666667
James K. Lowers,3.6399999999999997
James K. Morrow,3.75
James Kirkwood Jr.,3.75
James Krüss,4.3
James L. Nelson,4.01
James L. Stokesbury,3.95
James Lamar Roberts,3.6675
James Lee Burke,4.0200000000000005
James Lincoln Collier,3.59
James Luceno,4.16
James M. Cain,3.8
James M. Kouzes,4.05
James M. McPherson,4.35
James Mangold,4.02
James N. Frey,3.9050000000000002
James Patterson,3.902093023255814
James Pinocchio,3.41
James Plath,3.57
James Preller,3.87
James Redfield,3.8433333333333337
James Robert Smith,3.31
James Salter,3.9
James Scott Bell,4.08
James Shapiro,4.09
James Shreeve,3.83
James T. Farrell,3.89
James T. Patterson,3.85
James Tiptree Jr.,4.01
James W. Loewen,3.98
James Wallace,4.11
Jamie Jensen,3.96
Jamie Lee Curtis,4.16
Jamie Oliver,4.04
Jan Frank,3.97
Jan Greenberg,3.94
Jan Guillou,4.0
Jan M. Kriebs,4.06
Jan Needle,3.71
Jane Austen,4.157272727272727
Jane B. Mason,3.855
Jane Chance,3.62
Jane E. Gerver,4.06
Jane Feather,3.565
Jane Gardam,3.93
Jane Green,3.595833333333333
Jane Haddam,3.88
Jane Hamilton,3.7575000000000003
Jane Heller,3.52
Jane Jeong Trenka,4.17
Jane Leslie Conly,3.65
Jane Medwell,3.87
Jane Moore,3.41
Jane Parker Resnick,4.1
Jane Porter,3.715
Jane Robins,3.39
Jane Smiley,3.7122222222222216
Jane Walmsley,3.26
Jane Werner Watson,4.43
Jane Yolen,4.21
Janet Brennan Croft,3.79
Janet Evanovich,3.936896551724138
Janet Fitch,3.8000000000000003
Janet Flanner,3.85
Janet Geringer Woititz,4.09
Janet S. Wong,3.72
Janet Valade,3.55
Janet Wallach,3.92
Janette K. Klingner,3.79
Janette Oke,4.01
Janice Cook Migliaccio,3.47
Janice Ross,4.33
Janna Levin,3.68
Janny Wurts,3.9971428571428573
Janwillem van de Wetering,3.77
Jared Diamond,3.9325
Jaroslav Hašek,4.11
Jasmine C.M. Luk,0.0
Jason Hook,4.06
Jason King,3.6
Jasper Fforde,4.025714285714286
Javier Cercas,3.81
Jay McInerney,3.6666666666666665
Jay Parini,2.6933333333333334
Jay Rubin,3.83
Jayne Ann Krentz,3.8200000000000003
Jayne Castle,4.0775
Jean Aitchison,3.0
Jean Baudrillard,3.9299999999999997
Jean Craighead George,4.06
Jean Estoril,4.128333333333333
Jean Gibran,4.21
Jean Houston,3.95
Jean Lorrah,3.72
Jean M. Auel,4.0375
Jean Marzollo,3.75
Jean Nienkamp,4.2
Jean Rabe,3.563333333333333
Jean Rhys,3.58
Jean Sasson,3.9450000000000003
Jean Shepherd,4.08
Jean Stein,4.14
Jean Stone,3.89
Jean Van Leeuwen,3.705
Jean-Benoît Nadeau,3.74
Jean-Jacques Rousseau,3.7283333333333335
Jean-Luc Marion,4.03
Jean-Paul Sartre,3.882222222222222
Jeanette Winterson,3.8711111111111114
Jeanne DuPrau,3.27
Jeanne Sallade Criswell,2.83
Jeanne Treat,3.63
Jeannette Walls,4.27
Jed Carleton,3.68
Jeff   Smith,3.38
Jeff Hawkins,4.12
Jeff Long,3.6
Jeff Povey,3.22
Jeff Rovin,3.865
Jeff Shaara,4.166666666666667
Jeffery Deaver,3.937857142857143
Jeffery Hudson,3.72
Jeffrey Alford,4.18
Jeffrey Archer,3.9399999999999995
Jeffrey Eugenides,4.0
Jeffrey Ford,3.935
Jeffrey H. Tigay,3.82
Jeffrey Meyers,4.0
Jen Lancaster,3.9799999999999995
Jenna Jameson,3.76
Jennifer Allison,3.89
Jennifer Chiaverini,4.04
Jennifer Crusie,3.7681818181818185
Jennifer Frantz,4.13
Jennifer Hendricks,3.63
Jennifer O'Connell,3.47
Jennifer Quasha,4.04
Jennifer Watson,3.64
Jennifer Weiner,3.6425
Jennings Michael Burch,4.32
Jenny Hendy,3.6
Jenny Nimmo,3.76
Jenny Wormald,3.72
Jeremy D. Zawodny,4.23
Jeremy Gilbert-Rolfe,3.56
Jeremy Leven,4.13
Jeremy Rifkin,3.82
Jeremy Treglown,3.62
Jeremy Weate,3.92
Jerome K. Jerome,3.928
Jerome Kagan,3.42
Jerome Karabel,4.08
Jerome Preisler,3.91
Jerry Ahern,3.69
Jerry B. Jenkins,4.28
Jerry Burton,4.83
Jerry Seinfeld,3.63
Jerry Spinelli,3.79
Jerzy Kosiński,3.69
Jess Lourey,3.56
Jess Walter,3.51
Jessica Adams,3.26
Jessica Conant-Park,3.45
Jessica Hagedorn,3.59
Jessica Mitford,4.13
Jessica Porter,3.69
Jessica Snyder Sachs,3.93
Jhumpa Lahiri,4.043333333333334
Jiddu Krishnamurti,4.36
Jill Colella,3.69
Jill Conner Browne,4.02
Jill Elizabeth Nelson,3.69
Jill Mansell,3.7350000000000003
Jill Nelson,3.8
Jillian Hunter,3.99
Jim  Murphy,3.69
Jim  Powell,4.0
Jim Butcher,4.303333333333334
Jim Carroll,4.1
Jim Dutcher,4.58
Jim Fergus,3.88
Jim Henson,4.2
Jim Hougan,4.12
Jim Keogh,3.0
Jim Lehrer,3.4659999999999997
Jim Morrison,3.96
Jim Northrup,4.15
Jim Supica,4.44
Jim Thompson,3.7
Jim Toomey,4.35
Jim Trelease,4.41
Jim Wight,4.2
Jimmy Buffett,3.865
Jimmy Carter,3.67875
Jincy Willett,3.74
Jo Ann Ooiman Robinson,4.25
Jo Clayton,3.7675
Joan Aiken,4.135
Joan Dayan,3.95
Joan Didion,3.9745454545454546
Joan Elizabeth Klingel Ray,4.03
Joan Goldstein,4.38
Joan Holub,3.27
Joan Jonker,4.48
Joan Sinclair,4.11
Joanna Strange,3.84
Joanna Weaver,4.18
Joanne Fluke,3.84125
Joanne Harris,3.80125
Joanne Rocklin,4.0
Joaquin Miller,4.32
Jodee Blanco,3.85
Jodi Cobb,3.9
Jodi Picoult,3.7558823529411764
Joe  Miller,3.8
Joe Adamson,4.07
Joe Haldeman,3.671111111111111
Joe Kelly,3.67
Joe Kubert,3.47
Joe Meno,3.72
Joe Simpson,4.22
Joel Salatin,4.01
Joel Spolsky,4.11
Joel-Peter Witkin,4.54
Johann Wolfgang von Goethe,3.8009999999999997
Johanna Hurwitz,3.84
Johanna Rothman,3.96
Johanna Spyri,3.99
John               White,4.47
John             Lewis,4.49
John         Green,3.77
John      O'Brien,3.4
John     Kay,4.1
John     Nichols,4.005
John    Mason,4.39
John   Barton,4.35
John   Hammond,4.06
John  Adams,4.17
John  Baxter,3.83
John  Compton,3.86
John  Diamond,5.0
John  Miller,3.6
John  Smith,3.39
"John ""Red"" Shea",3.51
John A. Keel,3.54
John A. McDougall,4.01
John Ayto,4.38
John Baldessari,4.0
John Banville,3.6411111111111105
John Barth,3.872
John Berendt,3.793333333333333
John Boslough,4.02
John Brunner,3.552222222222222
John Bunyan,4.0
John C. Maxwell,4.203333333333333
John Carratello,4.0
John Cheever,3.8966666666666665
John Colapinto,3.97
John Cottingham,4.04
John D'Emilio,4.21
John D. Cox,4.05
John D. Fitzgerald,4.26
John D. Leonard,4.1
John Dickson Carr,4.01
John Dos Passos,3.9875
John E. Upledger,4.11
John Ehle,4.15
John Eldredge,3.915
John F. MacArthur Jr.,4.0649999999999995
John F. Nash,3.89
John Fowles,4.05
John G. Fuller,3.56
John Gardner,3.9966666666666666
John Garth,3.71
John Granger,4.13
John Graves,4.31
John Gray,3.573333333333333
John Gregory Betancourt,3.77
John Gribbin,4.08
John Grigsby,3.57
John Grisham,3.871052631578947
John Grogan,4.13
John Guare,4.0
John Guy,3.93
John Harold Haynes,3.85
John Harwood Hick,3.68
John Helfers,3.69
John Henry Newman,4.12
John Hersey,4.125
John Hodgman,3.82
John Howard Griffin,4.13
John Irving,3.615625
John J. Nance,3.96
John Jackson Miller,4.07
John Julius Norwich,4.12
John Keats,4.3
John Keegan,3.83
John Kennedy Toole,3.89
John Kenneth Galbraith,4.05
John Knoll,4.13
John Knowles,3.57
John Lange,3.53
John Lawrence Peterson,3.815
John Lescroart,4.015
John Lewis Gaddis,4.03
John Lindow,4.11
John M. Barry,3.96
John M. Hull,3.98
John M. Merriman,4.0
John M. Perkins,4.35
John Maddox Roberts,3.91
John Major Jenkins,3.71
John Marco,3.9
John Mason,3.6399999999999997
John Maynard Smith,4.0649999999999995
John McPhee,4.1691666666666665
John Milner,3.73
John Milton,3.976363636363636
John Newhouse,3.63
John O'Donohue,4.47
John Ostrander,4.025
John Patrick Diggins,3.88
John Peel,4.12
John Perkins,3.9699999999999998
John Piper,4.2375
John Prevas,3.83
John S.D. Eisenhower,3.825
John Sandford,4.1814285714285715
John Saul,3.893333333333333
John Steinbeck,4.031176470588235
John Terra,4.0
John Tosh,3.46
John Updike,3.8685714285714283
John W. Dean,3.73
John W. Dettman,3.5
John W. Gardner,3.82
John W. Schott,2.67
John Warry,4.14
John Waters,4.21
John Weld,0.0
John Wilcockson,3.67
John Wooden,4.45
John le Carré,3.95
Johnny Cash,4.07
Jon   Stewart,3.8049999999999997
Jon Agar,3.33
Jon Kabat-Zinn,3.9699999999999998
Jon Krakauer,4.05
Jon Lee Anderson,4.12
Jon M. Gibson,4.11
Jon Meacham,3.8
Jon Ronson,3.8366666666666664
Jon Stone,4.44
Jonathan  A. Goldstein,3.96
Jonathan  Andrews,3.42
Jonathan Barnes,4.115
Jonathan Carroll,3.8983333333333334
Jonathan Clements,4.04
Jonathan Croall,4.0
Jonathan Franzen,3.4200000000000004
Jonathan Hale,3.92
Jonathan Harr,3.816666666666667
Jonathan Kozol,4.25
Jonathan Lethem,3.56
Jonathan Parshall,4.42
Jonathan Phillips,4.04
Jonathan Ryder,3.62
Jonathan Safran Foer,3.922857142857143
Jonathan Shay,4.25
Jonathan Swift,3.647777777777778
Jonathan Wolff,4.11
Jorge Bucay,3.73
Jorge Cervantes,4.39
Jorge Cruise,3.1
Jorge Luis Borges,4.373571428571428
Joscelyn Godwin,3.46
Josef Pieper,4.5
Joseph A. Tainter,4.15
Joseph Blotner,4.13
Joseph Bruchac,3.995
Joseph Campbell,4.3133333333333335
