publisher,average_rating
Anthony Kiedis,4.11
Anthony Loyd,4.29
Anthony Mcreavy,3.0
Anthony Minghella,3.86
Anthony Powell,4.18
Anthony Robbins,4.23
Anthony Shadid,4.12
Anthony Thorlby,4.345000000000001
Antoine de Saint-Exupéry,4.31
Anton Chekhov,4.2749999999999995
Anton Myrer,3.79
Antonia Fraser,3.9525
Antonia Juhasz,4.05
Antonin Artaud,4.25
Antonio Gramsci,3.89
Antonio Negri,3.83
Antony Beevor,4.136666666666667
Antony Johnston,3.55
Anya Seton,4.01
Apollodorus,3.1740000000000004
April Jones Prince,4.16
Architecture For Humanity,4.12
Ariel Levy,3.68
Arielle Ford,4.08
Arien Mack,4.2
Aristophanes,3.921904761904762
Aristotle,4.074
Armand Marie Leroi,4.05
Armistead Maupin,4.1850000000000005
Arnold Rampersad,4.15
Arnon Grunberg,3.34
Art Spiegelman,4.445
Arthur  Miller,3.896
Arthur Agatston,3.45
Arthur Bennett,4.54
Arthur C. Clarke,4.026666666666666
Arthur Conan Doyle,4.218823529411765
Arthur Edward Waite,3.9
Arthur Golden,4.11
Arthur Herzog III,4.0
Arthur J. Roth,3.65
Arthur Koestler,4.082857142857143
Arthur Nersesian,3.55
Arthur Plotnik,3.9
Arthur Schopenhauer,4.1625
Arthur Yorinks,2.75
Arturo Pérez-Reverte,3.845
Arundhati Roy,3.94
Ashley Gardner,4.04
Ashley Shannon,4.05
Astrid Lindgren,4.199166666666667
Atul Gawande,4.26
Audre Lorde,4.49
Audrey Niffenegger,3.81
Audrey Penn,4.43
Augusten Burroughs,3.8350000000000004
Augustine of Hippo,4.053846153846154
Aurelio Voltaire,4.1
Avi,3.8575
Avigdor Kahalani,4.2
Ayn Rand,3.768125
Azar Nafisi,3.61
B.K. Beckwith,4.47
Babette Rothschild,4.27
Babette Smith,3.58
Barack Obama,3.815
Barbara  Newman,4.18
Barbara Ann Brennan,4.27
Barbara Berst Adams,3.76
Barbara Bottner,3.82
Barbara Bretton,3.57
